2026-08-23 05:42:08 status unpacked zlib1g:amd64 1:1.3.dfsg+really1.3.1-1+b1
2026-08-23 05:42:08 install openssl-provider-legacy:amd64 <none> 3.5.6-1~deb13u2
2026-08-23 05:42:08 status half-installed openssl-provider-legacy:amd64 3.5.6-1~deb13u2
2026-08-23 05:42:08 status unpacked openssl-provider-legacy:amd64 3.5.6-1~deb13u2
2026-08-23 05:42:08 install libsystemd0:amd64 <none> 257.13-1~deb13u1
2026-08-23 05:42:08 status half-installed libsystemd0:amd64 257.13-1~deb13u1
2026-08-23 05:42:08 status unpacked libsystemd0:amd64 257.13-1~deb13u1
2026-08-23 05:42:08 install libudev1:amd64 <none> 257.13-1~deb13u1
2026-08-23 05:42:08 status half-installed libudev1:amd64 257.13-1~deb13u1
2026-08-23 05:42:08 status unpacked libudev1:amd64 257.13-1~deb13u1
2026-08-23 05:42:08 upgrade perl-base:amd64 5.40.1-6 5.40.1-6
2026-08-23 05:42:08 status half-configured perl-base:amd64 5.40.1-6
2026-08-23 05:42:08 status unpacked perl-base:amd64 5.40.1-6
2026-08-23 05:42:08 status half-installed perl-base:amd64 5.40.1-6
2026-08-23 05:42:08 status unpacked perl-base:amd64 5.40.1-6
2026-08-23 05:42:08 install libtinfo6:amd64 <none> 6.5+20250216-2
2026-08-23 05:42:08 status half-installed libtinfo6:amd64 6.5+20250216-2
2026-08-23 05:42:08 status unpacked libtinfo6:amd64 6.5+20250216-2
2026-08-23 05:42:08 install tar:amd64 <none> 1.35+dfsg-3.1
2026-08-23 05:42:08 status half-installed tar:amd64 1.35+dfsg-3.1
2026-08-23 05:42:08 status unpacked tar:amd64 1.35+dfsg-3.1
2026-08-23 05:42:08 install libuuid1:amd64 <none> 2.41-5
2026-08-23 05:42:08 status half-installed libuuid1:amd64 2.41-5
2026-08-23 05:42:08 status unpacked libuuid1:amd64 2.41-5
2026-08-23 05:42:08 install login.defs:all <none> 1:4.17.4-2
2026-08-23 05:42:08 status half-installed login.defs:all 1:4.17.4-2
2026-08-23 05:42:08 status unpacked login.defs:all 1:4.17.4-2
2026-08-23 05:42:08 install login:amd64 <none> 1:4.16.0-2+really2.41-5
2026-08-23 05:42:08 status half-installed login:amd64 1:4.16.0-2+really2.41-5
2026-08-23 05:42:08 status unpacked login:amd64 1:4.16.0-2+really2.41-5
2026-08-23 05:42:08 install mount:amd64 <none> 2.41-5
2026-08-23 05:42:08 status half-installed mount:amd64 2.41-5
2026-08-23 05:42:08 status unpacked mount:amd64 2.41-5
2026-08-23 05:42:08 install ncurses-base:all <none> 6.5+20250216-2
2026-08-23 05:42:08 status half-installed ncurses-base:all 6.5+20250216-2
2026-08-23 05:42:08 status unpacked ncurses-base:all 6.5+20250216-2
2026-08-23 05:42:08 install ncurses-bin:amd64 <none> 6.5+20250216-2
2026-08-23 05:42:08 status half-installed ncurses-bin:amd64 6.5+20250216-2
2026-08-23 05:42:08 status unpacked ncurses-bin:amd64 6.5+20250216-2
2026-08-23 05:42:08 install passwd:amd64 <none> 1:4.17.4-2
2026-08-23 05:42:08 status half-installed passwd:amd64 1:4.17.4-2
2026-08-23 05:42:09 status unpacked passwd:amd64 1:4.17.4-2
2026-08-23 05:42:09 install sed:amd64 <none> 4.9-2+deb13u1
2026-08-23 05:42:09 status half-installed sed:amd64 4.9-2+deb13u1
2026-08-23 05:42:09 status unpacked sed:amd64 4.9-2+deb13u1
2026-08-23 05:42:09 install sysvinit-utils:amd64 <none> 3.14-4
2026-08-23 05:42:09 status half-installed sysvinit-utils:amd64 3.14-4
2026-08-23 05:42:09 status unpacked sysvinit-utils:amd64 3.14-4
2026-08-23 05:42:09 install tzdata:all <none> 2026b-0+deb13u1
2026-08-23 05:42:09 status half-installed tzdata:all 2026b-0+deb13u1
2026-08-23 05:42:09 status unpacked tzdata:all 2026b-0+deb13u1
2026-08-23 05:42:09 install util-linux:amd64 <none> 2.41-5
2026-08-23 05:42:09 status half-installed util-linux:amd64 2.41-5
2026-08-23 05:42:09 status unpacked util-linux:amd64 2.41-5
2026-08-23 05:42:09 startup packages configure
2026-08-23 05:42:09 configure gcc-14-base:amd64 14.2.0-19 <none>
2026-08-23 05:42:09 status unpacked gcc-14-base:amd64 14.2.0-19
2026-08-23 05:42:09 status half-configured gcc-14-base:amd64 14.2.0-19
2026-08-23 05:42:09 status installed gcc-14-base:amd64 14.2.0-19
2026-08-23 05:42:09 configure login.defs:all 1:4.17.4-2 <none>
2026-08-23 05:42:09 status unpacked login.defs:all 1:4.17.4-2
2026-08-23 05:42:09 status half-configured login.defs:all 1:4.17.4-2
2026-08-23 05:42:09 status installed login.defs:all 1:4.17.4-2
2026-08-23 05:42:09 configure debian-archive-keyring:all 2025.1 <none>
2026-08-23 05:42:09 status unpacked debian-archive-keyring:all 2025.1
2026-08-23 05:42:09 status half-configured debian-archive-keyring:all 2025.1
2026-08-23 05:42:09 status installed debian-archive-keyring:all 2025.1
2026-08-23 05:42:09 configure libaudit-common:all 1:4.0.2-2 <none>
2026-08-23 05:42:09 status unpacked libaudit-common:all 1:4.0.2-2
2026-08-23 05:42:09 status half-configured libaudit-common:all 1:4.0.2-2
2026-08-23 05:42:09 status installed libaudit-common:all 1:4.0.2-2
2026-08-23 05:42:09 configure libsemanage-common:all 3.8.1-1 <none>
2026-08-23 05:42:09 status unpacked libsemanage-common:all 3.8.1-1
2026-08-23 05:42:09 status half-configured libsemanage-common:all 3.8.1-1
2026-08-23 05:42:09 status installed libsemanage-common:all 3.8.1-1
2026-08-23 05:42:09 configure debconf:all 1.5.91 <none>
2026-08-23 05:42:09 status unpacked debconf:all 1.5.91
2026-08-23 05:42:09 status half-configured debconf:all 1.5.91
2026-08-23 05:42:09 status installed debconf:all 1.5.91
2026-08-23 05:42:09 configure tzdata:all 2026b-0+deb13u1 <none>
2026-08-23 05:42:09 status unpacked tzdata:all 2026b-0+deb13u1
2026-08-23 05:42:09 status half-configured tzdata:all 2026b-0+deb13u1
2026-08-23 05:42:09 status installed tzdata:all 2026b-0+deb13u1
2026-08-23 05:42:09 configure ncurses-base:all 6.5+20250216-2 <none>
2026-08-23 05:42:09 status unpacked ncurses-base:all 6.5+20250216-2
2026-08-23 05:42:09 status half-configured ncurses-base:all 6.5+20250216-2
2026-08-23 05:42:09 status installed ncurses-base:all 6.5+20250216-2
2026-08-23 05:42:09 configure init-system-helpers:all 1.69~deb13u1 <none>
2026-08-23 05:42:09 status unpacked init-system-helpers:all 1.69~deb13u1
2026-08-23 05:42:09 status half-configured init-system-helpers:all 1.69~deb13u1
2026-08-23 05:42:09 status installed init-system-helpers:all 1.69~deb13u1
2026-08-23 05:42:09 configure libgcc-s1:amd64 14.2.0-19 <none>
2026-08-23 05:42:09 status unpacked libgcc-s1:amd64 14.2.0-19
2026-08-23 05:42:09 status half-configured libgcc-s1:amd64 14.2.0-19
2026-08-23 05:42:09 status installed libgcc-s1:amd64 14.2.0-19
2026-08-23 05:42:09 configure libc6:amd64 2.41-12+deb13u3 <none>
2026-08-23 05:42:09 status unpacked libc6:amd64 2.41-12+deb13u3
2026-08-23 05:42:09 status half-configured libc6:amd64 2.41-12+deb13u3
2026-08-23 05:42:09 status installed libc6:amd64 2.41-12+deb13u3
2026-08-23 05:42:09 configure libdb5.3t64:amd64 5.3.28+dfsg2-9 <none>
2026-08-23 05:42:09 status unpacked libdb5.3t64:amd64 5.3.28+dfsg2-9
2026-08-23 05:42:09 status half-configured libdb5.3t64:amd64 5.3.28+dfsg2-9
2026-08-23 05:42:09 status installed libdb5.3t64:amd64 5.3.28+dfsg2-9
2026-08-23 05:42:09 configure libmd0:amd64 1.1.0-2+b1 <none>
2026-08-23 05:42:09 status unpacked libmd0:amd64 1.1.0-2+b1
2026-08-23 05:42:09 status half-configured libmd0:amd64 1.1.0-2+b1
2026-08-23 05:42:09 status installed libmd0:amd64 1.1.0-2+b1
2026-08-23 05:42:09 configure libxxhash0:amd64 0.8.3-2 <none>
2026-08-23 05:42:09 status unpacked libxxhash0:amd64 0.8.3-2
2026-08-23 05:42:09 status half-configured libxxhash0:amd64 0.8.3-2
2026-08-23 05:42:09 status installed libxxhash0:amd64 0.8.3-2
2026-08-23 05:42:09 configure libattr1:amd64 1:2.5.2-3 <none>
2026-08-23 05:42:09 status unpacked libattr1:amd64 1:2.5.2-3
2026-08-23 05:42:09 status half-configured libattr1:amd64 1:2.5.2-3
2026-08-23 05:42:09 status installed libattr1:amd64 1:2.5.2-3
2026-08-23 05:42:09 configure sysvinit-utils:amd64 3.14-4 <none>
2026-08-23 05:42:09 status unpacked sysvinit-utils:amd64 3.14-4
2026-08-23 05:42:09 status half-configured sysvinit-utils:amd64 3.14-4
2026-08-23 05:42:09 status installed sysvinit-utils:amd64 3.14-4
2026-08-23 05:42:09 configure debianutils:amd64 5.23.2 <none>
2026-08-23 05:42:09 status unpacked debianutils:amd64 5.23.2
2026-08-23 05:42:09 status half-configured debianutils:amd64 5.23.2
2026-08-23 05:42:09 status installed debianutils:amd64 5.23.2
2026-08-23 05:42:09 configure mawk:amd64 1.3.4.20250131-1 <none>
2026-08-23 05:42:09 status unpacked mawk:amd64 1.3.4.20250131-1
2026-08-23 05:42:09 status half-configured mawk:amd64 1.3.4.20250131-1
2026-08-23 05:42:09 status installed mawk:amd64 1.3.4.20250131-1
2026-08-23 05:42:09 configure libdebconfclient0:amd64 0.280 <none>
2026-08-23 05:42:09 status unpacked libdebconfclient0:amd64 0.280
2026-08-23 05:42:09 status half-configured libdebconfclient0:amd64 0.280
2026-08-23 05:42:09 status installed libdebconfclient0:amd64 0.280
2026-08-23 05:42:09 configure base-files:amd64 13.8+deb13u6 <none>
2026-08-23 05:42:09 status unpacked base-files:amd64 13.8+deb13u6
2026-08-23 05:42:09 status half-configured base-files:amd64 13.8+deb13u6
2026-08-23 05:42:09 status installed base-files:amd64 13.8+deb13u6
2026-08-23 05:42:09 configure libbz2-1.0:amd64 1.0.8-6 <none>
2026-08-23 05:42:09 status unpacked libbz2-1.0:amd64 1.0.8-6
